analysis,metric,term,estimate_std,se,ci_low,ci_high,z,p_value,n_texts,n_students,converged,aic,p_fdr
near_deduplicated,mean_log_frequency_content,log_len_z,-0.07707453128675215,0.02154376732041385,-0.1193003152347633,-0.03484874733874101,-3.577579080782217,0.0003467913160722333,3356,364,True,9130.744935928535,
primary,rare_content_rate,level_within,-0.03400497169638145,0.032401809259274494,-0.09751251784455946,0.029502574451796562,-1.0494775592399388,0.29395837823579873,3435,364,True,9595.549030284783,0.3674479727947484
primary,rare_content_rate,level_between,-0.04910957106560761,0.05518890580042852,-0.1572798264344475,0.05906068430323229,-0.8898449852076301,0.37354912775341387,3435,364,True,9595.549030284783,
primary,rare_content_rate,log_len_z,0.06355064159393632,0.022185101370392545,0.020067842907966933,0.10703344027990572,2.864563949153226,0.004175838282583029,3435,364,True,9595.549030284783,
paragraph_only,rare_content_rate,level_within,-0.095628180533623,0.0473037039792003,-0.1883434403328556,-0.002912920734390409,-2.02157912572071,0.043219850354391895,1576,234,True,4496.786999725506,0.0720330839239865
paragraph_only,rare_content_rate,level_between,-1.792981262325986e-17,0.052834312123691454,-0.10355525176243527,0.10355525176243524,-3.393592516409416e-16,0.9999999999999998,1576,234,True,4496.786999725506,
paragraph_only,rare_content_rate,log_len_z,0.04697293886233346,0.028232772985439223,-0.008363296189127414,0.10230917391379434,1.6637734765394563,0.09615770632182803,1576,234,True,4496.786999725506,
min150_words,rare_content_rate,level_within,-0.020311720666180505,0.03824470318637185,-0.09527133891146934,0.05464789757910833,-0.531098922828571,0.5953502306369739,2678,321,True,7414.312464672272,0.7211857827258474
min150_words,rare_content_rate,level_between,-0.13008421166024778,0.06712842995849841,-0.26165593437890466,0.0014875110584091078,-1.9378408185722689,0.052642646077862745,2678,321,True,7414.312464672272,
min150_words,rare_content_rate,log_len_z,0.12310262847023612,0.023747882424538697,0.07655677891814028,0.16964847802233196,5.1837307541591215,2.1749084454964687e-07,2678,321,True,7414.312464672272,
exact_deduplicated,rare_content_rate,level_within,-0.03350924783879872,0.03263605164260613,-0.09747590905830672,0.030457413380709286,-1.0267555709788325,0.30453557482186255,3394,364,True,9493.132367025544,0.3806694685273282
exact_deduplicated,rare_content_rate,level_between,-0.03854973356769658,0.05495792101486849,-0.14626725875683882,0.06916779162144565,-0.7014408997979966,0.4830279051551608,3394,364,True,9493.132367025544,
exact_deduplicated,rare_content_rate,log_len_z,0.0624275715059936,0.022313698713467306,0.018692722027597683,0.10616242098438952,2.7977240486946164,0.005146406043284345,3394,364,True,9493.132367025544,
near_deduplicated,rare_content_rate,level_within,-0.03448184539893198,0.03279606033562445,-0.09876212365675589,0.02979843285889193,-1.051402060066232,0.2930739700819833,3356,364,True,9394.603825090842,0.36634246260247916
near_deduplicated,rare_content_rate,level_between,-0.036517563310488305,0.054754097428676235,-0.14383559427069373,0.07080046764971712,-0.6669375448669719,0.5048120277196989,3356,364,True,9394.603825090842,
near_deduplicated,rare_content_rate,log_len_z,0.0631269764778357,0.02240643024830877,0.019210373191150515,0.10704357976452089,2.8173598283287675,0.004842024493603497,3356,364,True,9394.603825090842,
